nombre,tipo,telefono,direccion,municipio,departamento
INSP TTOyTTE ZARZAL,Organismos de Tránsito,2219000,CARRERA 9 NO. 10-36. PALACIO MUNICIPAL,ZARZAL,VALLE DEL CAUCA
INST DE TTO MCPAL CHAPARRAL,Organismos de Tránsito,2460290,CALLE 10 # 8-42 CENTRO (CIS),CHAPARRAL,TOLIMA
INST DE TTOyTTE DE CAMPOALEGRE HUILA ITTC,Organismos de Tránsito,8380088,CLL 18 # 7-32,CAMPOALEGRE,HUILA
INST DPTAL DE TTO QUINDIO/CIRCASIA,Organismos de Tránsito,3156650379,KM 1 INTERSECCION LA CABAÑA COSTADO DERECHO VIA PEREIRA ARMENIA CIRCASIA QUINDIO,CIRCASIA,QUINDÍO
INST DPTAL TTOyTTE  META/RESTREPO,Organismos de Tránsito,6550070,CALLE 8 NO 3 - 31 BARRIO GAITAN,RESTREPO,META
INST DPTAL TTOyTTE META/GUAMAL,Organismos de Tránsito,8-6755427,CARRERA 6 TRANSVERSAL 5 ESQUINA,GUAMAL,META
INST DPTAL TTOyTTE META/PUERTO LOPEZ,Organismos de Tránsito,6550305,CALLE 8 N. 3-31,PUERTO LOPEZ,META
INST DTAL DE TTO CESAR/SAN ALBERTO,Organismos de Tránsito,3205100934,CALLE 7 #3 - 21 BARRIO CENTRO,SAN ALBERTO,CESAR
INST DTAL DE TTO CESAR/SAN DIEGO,Organismos de Tránsito,5840310,CARRERA 8 # 4-78 BARRIO NIÑO DE JESUS,SAN DIEGO,CESAR
INST MCPAL TTE Y MOVILIDAD-IMTRAM PTO ASIS,Organismos de Tránsito,4221049,CALLE 10 NO. 30-60,PUERTO ASIS,PUTUMAYO
INST MCPAL TTO DE ARACATACA - IMTARAC,Organismos de Tránsito,4270727,CALLE 9 # 5 - 18 BARRIO CENTRO,ARACATACA,MAGDALENA
INST MCPAL TTOyTTE AGUACHICA,Organismos de Tránsito,5651445,CARRERA 15 NO. 2-42,AGUACHICA,CESAR
INST MCPAL TTOyTTE EL BANCO,Organismos de Tránsito,4291714,CARRERA 4 NO. 6-20,EL BANCO,MAGDALENA
INST MCPAL TTOyTTE FUNDACION,Organismos de Tránsito,4131439,TRANSVERSAL 8 DIAGONAL 9 NO. 9-75,FUNDACION,MAGDALENA
INST MCPAL TTOyTTE MAICAO,Organismos de Tránsito,7255524,CALLE 10 NO. 9-34 PISO 3 EDIFICIO JERUSALEN,MAICAO,LA GUAJIRA
INST MCPAL TTOYTTE SOLEDAD,Organismos de Tránsito,3931108,CALLE 63 NO. 13-17 PROLONGACIÓN AVENIDA MURILLO. CENTRO COMERCIAL NUESTRO ATLÁNTICO. PISO 2 LOCAL 2005,SOLEDAD,ATLÁNTICO
INST MOVyTTE MCPAL DE ARAUQUITA,Organismos de Tránsito,3227707354,CR 3 5 53 B.SAN MARTIN,ARAUQUITA,ARAUCA
INST MOVyTTE MCPAL TAME,Organismos de Tránsito,8882174,CALLE 11 NO. 14 - 59,TAME,ARAUCA
INST TTO Y TTE DEL MUNICIPIO DE SINCÉ,Organismos de Tránsito,3235355707,CARRERA 10 # 14 - 01 BARRIO LA ESMERALDA,SAN LUIS DE SINCE,SUCRE
INST TTOyTTE  ARAUCA/ARAUCA,Organismos de Tránsito,8853157,CARRERA 19 NO 17-55. CENTRO,ARAUCA,ARAUCA
INST TTOyTTE ACACIAS,Organismos de Tránsito,6564535,CALLE 15 NO. 16 - 56 BARRIO EL CENTRO,ACACIAS,META
INST TTOyTTE CHARALA,Organismos de Tránsito,7258372,CARRERA 17 NO 24-11. ALCALDIA MUNICIPAL - PISO 2,CHARALA,SANTANDER
INST TTOyTTE DE CERETE,Organismos de Tránsito,7641537,CEREBASTOS BLOQUE A. PRIMER PISO,CERETE,CÓRDOBA
INST TTOyTTE DE PITALITO - INTRAPITALITO,Organismos de Tránsito,8369915,CALLE 1 # 11-45 ESTE BARRIO PARAISO,PITALITO,HUILA
INST TTOYTTE DEL MUNICIPIO DE ALBANIA,Organismos de Tránsito,7775377,CALLE 2 NO. 4-13 BARRIO EL CENTRO,ALBANIA,LA GUAJIRA
INST TTOyTTE DEL MUNICIPIO DE LOS PATIOS,Organismos de Tránsito,5809524,AVENIDA 10 NO. 28-46 SEGUNDO PISO,LOS PATIOS,NORTE DE SANTANDER
INST TTOyTTE DPTAL HUILA/TIMANA,Organismos de Tránsito,8374701,CARRERA 3 NO. 4 – 27 PISO 1,TIMANA,HUILA
INST TTOyTTE MCPAL CIENAGA,Organismos de Tránsito,4101560,CALLE 12 # 12-07,CIENAGA,MAGDALENA
INST TTOyTTE MCPAL SOGAMOSO,Organismos de Tránsito,7706761,CARRERA 5 NO. 1 - 45 BARRIO LOS PINOS,SOGAMOSO,BOYACÁ
INST. DE TT0 TTE y MOVILIDAD DISTRITAL DE RIOHACHA,Organismos de Tránsito,7279805,CARRERA 7 NO. 21-15,RIOHACHA,LA GUAJIRA
INSTITUTO DE MOVILIDAD DE EL CARMEN DE BOLIVAR,Organismos de Tránsito,6860527,BARRIO EL TENDAL CALLE 23 # 48 - 60,EL CARMEN DE BOLIVAR,BOLÍVAR
INSTITUTO DE MOVILIDAD DE PEREIRA,Organismos de Tránsito,3366767,CARRERA 9 NO 37-65,PEREIRA,RISARALDA
INSTITUTO DE TRÁNSITO DEL ATLANTICO/BARANOA,Organismos de Tránsito,6053713000,KM 15 VÍA CORDIALIDAD 300 M ANTES DEL PEAJE,BARANOA,ATLÁNTICO
INSTITUTO DE TRANSITO Y TRANSPORTE DE FONSECA LA GUAJIRA,Organismos de Tránsito,7755390,CRA 12 # 17-30,FONSECA,LA GUAJIRA
INSTITUTO DE TRANSPORTES Y TRÁNSITO DEL HUILA/RIVERA,Organismos de Tránsito,8392411,VEREDA BAJO PEDREGAL 100 METROS DESPUES DEL CRUCE VIA NEIVA - RIVERA,RIVERA,HUILA
INSTITUTO MUNICIPAL DE TRANSITO Y TRANSPORTE DE CLEMENCIA BOLIVAR,Organismos de Tránsito,3212001188,CARRERA 11 NO. 76 PLAZA PRINCIPAL,CLEMENCIA,BOLÍVAR
ITBOY - DIST DE TTO SANTA ROSA DE VITERBO,Organismos de Tránsito,87860168/137 y 164 y 7450909,CARRERA 8 # 6-56,SANTA ROSA DE VITERBO,BOYACÁ
ITBOY - DIST TTO No 1/COMBITA,Organismos de Tránsito,7451917,CARRERA 2  NO.72-43 KM. 3,COMBITA,BOYACÁ
